id,title,text,published_date,url
G5000-11,ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT,"The May announcement is a bilateral ServiceNow–NVIDIA partnership to build enterprise-grade generative AI. In July, Accenture is added and the three companies launch the AI Lighthouse program. row 746 (2023-05-17 18:58:00): ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT | row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises Compare participant sets and event type across the two documents. Need both the new entity (Accenture) and new program (AI Lighthouse).",2023-05-17,"[""https://www.tmcnet.com/usubmit/2023/05/17/9816504.htm"", ""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]"
G5000-12,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value,"In July, the Now Assist family was expanded with case summarization and text-to-code. In October, Deloitte and ServiceNow expanded their alliance to integrate Now Assist generative-AI capabilities with next-generation managed services. row 1435 (2023-07-26 20:30:00): ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value | row 411 (2023-10-26 01:46:00): Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services Traverse from a product family to internal feature additions and an external services alliance. Do not conflate Deloitte with the July feature development.",2023-07-26,"[""https://technews.tmcnet.com/news/2023/07/26/9854808.htm"", ""https://www.businesswire.com/news/home/20231025715145/en/Deloitte-and-ServiceNow-Expand-Alliance-to-Integrate-Now-Assist-Generative-AI-Capabilities-With-Next-Generation-Managed-Services""]"
G5000-13,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,"ServiceNow, NVIDIA, and Accenture. row 648 (2023-07-27 18:43:00): ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises Read the three launch participants from the title. All three companies are required.",2023-07-27,"[""https://www.datanami.com/this-just-in/servicenow-nvidia-and-accenture-partner-to-accelerate-generative-ai-adoption-for-enterprises/""]"
G5000-14,DEWA is the first utility in the world to enrich its services with ChatGPT technology,"DEWA said it was enriching utility services with ChatGPT technology supported by Microsoft; a May report said Microsoft could offer businesses a private ChatGPT running on dedicated servers; in June Microsoft unveiled Azure OpenAI Service for federal agencies/government cloud operations. row 215 (2023-02-09 11:20:00): DEWA is the first utility in the world to enrich its services with ChatGPT technology | row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost | row 3529 (2023-06-09 20:05:00): Microsoft unveils OpenAI service for government customers Join three Microsoft/OpenAI-related stories but keep the customer segment and rollout status distinct. Private ChatGPT was reported as a possible future offering, not a confirmed launch.",2023-02-09,"[""https://www.businesswireindia.com/dewa-is-the-first-utility-in-the-world-to-enrich-its-services-with-chatgpt-technology-82997.html"", ""https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/"", ""https://washingtontechnology.com/companies/2023/06/microsoft-unveils-openai-service-government-customers/387381/""]"
G5000-15,Microsoft adds AI tools to Outlook Word,"In March, Copilot was described as AI functionality being infused into Office apps including Word, Excel, and Outlook. By September, Microsoft announced a unified Copilot for Windows launching September 26 and unifying previously separate Copilot assistants, with the story also referencing Edge. row 2471 (2023-03-17 15:48:00): Microsoft adds AI tools to Outlook Word | row 3043 (2023-09-21 18:25:00): Microsoft’s unified Copilot is coming to Windows Edge and everywhere else Compare application-level Office integration with later OS/browser-wide unification. Need both the March Office scope and September unified Windows scope.",2023-03-17,"[""https://www.djc.com/news/ht/12155307.html"", ""https://www.theverge.com/2023/9/21/23883798/microsoft-copilot-unified-windows-11-apps-launch-date""]"
G5000-16,Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost,"The private ChatGPT offering for businesses was described as potentially running on dedicated servers and as something that could be announced later. Azure OpenAI Service for federal agencies was described as unveiled in June, so it was a launched/unveiled government offering rather than a merely reported possibility. row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost | row 3529 (2023-06-09 20:05:00): Microsoft unveils OpenAI service for government customers Compare modal language and rollout status. Penalize treating the private business ChatGPT as already generally available.",2023-05-02,"[""https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/"", ""https://washingtontechnology.com/companies/2023/06/microsoft-unveils-openai-service-government-customers/387381/""]"
G5000-17,Microsoft says early June service outages were cyberattacks,"The reports describe the same early-June Microsoft disruption as cyberattacks; a hacktivist group claimed it used distributed denial-of-service (DDoS) traffic. Named affected services include Outlook and OneDrive within Microsoft's office suite, as well as its cloud computing platform. row 1943 (2023-06-18 00:19:00): Microsoft says early June service outages were cyberattacks | row 2566 (2023-06-18 02:53:00): Microsoft says early June disruptions to Outlook cloud platform were cyberattacks | row 3284 (2023-06-18 20:07:00): Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks Collapse syndicated coverage into one incident and union the named affected services/attack mechanism. Do not count three separate attacks simply because there are three articles.",2023-06-18,"[""https://www.reuters.com/technology/microsoft-says-early-june-service-outages-were-cyberattacks-2023-06-18/"", ""https://www.kait8.com/2023/06/17/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks/"", ""https://www.military.com/daily-news/2023/06/18/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks.html""]"
G5000-18,Microsoft says early June service outages were cyberattacks,"All three are dated June 18, refer to the same early-June disruptions of Microsoft services/Outlook cloud platform, and attribute them to cyberattacks; two explicitly describe the same hacktivist DDoS claim. They therefore represent overlapping coverage of one incident. row 1943 (2023-06-18 00:19:00): Microsoft says early June service outages were cyberattacks | row 2566 (2023-06-18 02:53:00): Microsoft says early June disruptions to Outlook cloud platform were cyberattacks | row 3284 (2023-06-18 20:07:00): Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks Use date, affected platform, and attack attribution to resolve event identity. Full credit requires explaining shared event attributes, not merely saying the titles are similar.",2023-06-18,"[""https://www.reuters.com/technology/microsoft-says-early-june-service-outages-were-cyberattacks-2023-06-18/"", ""https://www.kait8.com/2023/06/17/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks/"", ""https://www.military.com/daily-news/2023/06/18/microsoft-says-early-june-disruptions-outlook-cloud-platform-were-cyberattacks.html""]"
G5000-19,KPMG to invest $2 billion in AI cloud services,"KPMG said it would spend $2 billion on artificial intelligence and cloud services through an expanded partnership with Microsoft. row 3054 (2023-07-11 23:31:00): KPMG to invest $2 billion in AI cloud services Extract amount, technology areas, and partner edge. Must include $2 billion, AI, cloud services, and Microsoft.",2023-07-11,"[""https://www.reuters.com/technology/kpmg-plans-2-bln-investment-ai-cloud-services-wsj-2023-07-11/""]"
G5000-20,Options Announces Achievement of Microsoft Infrastructure Solutions Partner Status,"In May, Options Technology announced Microsoft Solutions Partner status for Infrastructure. In June, it announced Microsoft Solutions Partner status for Security, expanding the documented specialization from infrastructure to security. row 1187 (2023-05-10 09:54:00): Options Announces Achievement of Microsoft Infrastructure Solutions Partner Status | row 1229 (2023-06-08 15:42:00): Options Named Microsoft Solutions Partner for Security Resolve the same company across two partner-status articles and compare designations. Need both Infrastructure and Security in the correct date order.",2023-05-10,"[""https://technews.tmcnet.com/news/2023/05/10/9811196.htm"", ""https://www.galvnews.com/news_ap/business/options-named-microsoft-solutions-partner-for-security/article_806d69f3-5ed0-53ec-82fe-0900d3b49515.html""]"
G5000-21,Microsoft opens top cloud data processing hub in Poland,"Microsoft launched a cloud data storage/processing hub in central Poland, representing physical cloud infrastructure expansion. Separately, KPMG committed $2 billion to AI and cloud services through an expanded Microsoft partnership, representing partner-led service and adoption investment. row 3337 (2023-04-26 22:23:00): Microsoft opens top cloud data processing hub in Poland | row 3054 (2023-07-11 23:31:00): KPMG to invest $2 billion in AI cloud services Connect two cloud-related stories without collapsing infrastructure construction into partnership investment. Both expansion types must be named.",2023-04-26,"[""https://www.sandiegouniontribune.com/business/nation/story/2023-04-26/microsoft-opens-top-cloud-data-processing-hub-in-poland"", ""https://www.reuters.com/technology/kpmg-plans-2-bln-investment-ai-cloud-services-wsj-2023-07-11/""]"
G5000-22,Microsoft adds AI tools to Outlook Word,"Microsoft Copilot first appears across Office applications such as Word, Excel, and Outlook; later Microsoft describes a unified Copilot for Windows that consolidates formerly separate assistants and is also tied to Edge in the story framing. row 2471 (2023-03-17 15:48:00): Microsoft adds AI tools to Outlook Word | row 3043 (2023-09-21 18:25:00): Microsoft’s unified Copilot is coming to Windows Edge and everywhere else Follow one product entity across multiple software surfaces and dates. Need at least two Office apps plus Windows/unification.",2023-03-17,"[""https://www.djc.com/news/ht/12155307.html"", ""https://www.theverge.com/2023/9/21/23883798/microsoft-copilot-unified-windows-11-apps-launch-date""]"
G5000-23,DEWA is the first utility in the world to enrich its services with ChatGPT technology,DEWA's February announcement is a confirmed customer use case: it said it was working to enrich services with ChatGPT technology supported by Microsoft. The May private-ChatGPT-for-businesses story is only a reported potential future offering that could be announced later. row 215 (2023-02-09 11:20:00): DEWA is the first utility in the world to enrich its services with ChatGPT technology | row 4944 (2023-05-02 17:49:00): Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost Compare actual customer adoption with reported product planning. Penalize answers that convert the May report into a confirmed deployment.,2023-02-09,"[""https://www.businesswireindia.com/dewa-is-the-first-utility-in-the-world-to-enrich-its-services-with-chatgpt-technology-82997.html"", ""https://arstechnica.com/information-technology/2023/05/report-microsoft-plans-privacy-first-chatgpt-for-businesses-with-secrets-to-keep/""]"
G5000-24,Microsoft pays $20 million settlement for collecting children’s data,$20 million. row 2511 (2023-06-07 09:36:00): Microsoft pays $20 million settlement for collecting children’s data Retrieve the settlement amount exactly. Answer must be $20 million.,2023-06-07,"[""https://www.fudzilla.com/news/57039-microsoft-pays-20-million-settlement-for-collecting-children-s-data""]"
G5000-25,Exclusive: Amazon's cloud unit is considering AMD's new AI chips,"AWS was reported to be considering AMD's new AI chips, and an AWS executive said no final decision had been made. Therefore the graph should store an evaluation/consideration relation, not a confirmed adoption or purchase. row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips Preserve uncertainty and avoid converting consideration into adoption. Any answer claiming confirmed AWS adoption is incorrect.",2023-06-14,"[""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/""]"
G5000-26,Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google,Amazon's AI-service story names access to technology from Cohere. It also mentions a program for building more conversational customer-service agents; one follow-up additionally mentions a healthcare system for generating clinical notes after patient visits. row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google Merge the duplicate Amazon reports and retain non-conflicting details from each. Need Cohere plus the customer-service-agent capability; clinical notes is an additional supported detail.,2023-07-26,"[""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]"
G5000-27,3 Best Cloud Stocks to Buy in June,The June 1 investment article broadly says AMD powers multiple cloud services through its chips. The June 14 Reuters report specifically says AWS was only considering AMD's new AI chips and had not made a final decision. Therefore the broad cloud relationship must not be specialized into a confirmed AWS adoption of the new AI chips. row 3357 (2023-06-01 13:16:00): 3 Best Cloud Stocks to Buy in June | row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips Distinguish a general market statement from a specific vendor adoption claim. Critical: do not infer AWS adopted the new AMD AI chips.,2023-06-01,"[""https://www.fool.com/investing/2023/06/01/3-best-cloud-stocks-to-buy-in-june/"", ""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/""]"
G5000-28,Google Cloud Kicks Off Next '23 with a New Way to Cloud,"Meta is connected via Llama 2 and Code Llama; the Technology Innovation Institute is connected via Falcon LLM; Anthropic is connected via Claude 2, which Google Cloud pre-announced. row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud Build separate provider->model mappings rather than a flat list. All three providers and their models are required.",2023-08-29,"[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm""]"
G5000-29,The White House and big tech companies release commitments on managing AI,"The July report names seven companies including Google, Meta, and OpenAI as making voluntary AI commitments. The September report says IBM, Adobe, Salesforce, and five more companies made similar safety, security, and transparency commitments, explicitly noting similarity to the July pledges by OpenAI and others. row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI | row 3330 (2023-09-12 10:00:00): More tech companies take White House AI safety pledge Compare the named participant sets and shared commitment concept over time. Do not claim the September companies were part of the July seven unless explicitly named.",2023-07-21,"[""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai"", ""https://www.msn.com/en-us/money/companies/more-tech-companies-take-white-house-ai-safety-pledge/ar-AA1gARhV""]"
G5000-30,Google Cloud Kicks Off Next '23 with a New Way to Cloud,"At Google Cloud Next, Meta is the provider/source of Llama 2 and Code Llama models made available on Google Cloud. Separately, Meta is one of the companies named in the July White House voluntary AI commitments. These are a model-provider/platform relation and a policy/safety-commitment relation, respectively. row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI Resolve Meta as one entity but preserve distinct relation types across contexts. Penalize collapsing both edges into a generic partnership.",2023-08-29,"[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm"", ""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai""]"
G5000-31,OpenAI's ChatGPT gets support for a dozen application plug-ins,March: ChatGPT gained support for about a dozen application plug-ins. May: OpenAI was reported to be preparing a new open-source language model. June: OpenAI was reported to plan an app-store/marketplace for developers to sell AI models built on its technology. July: AP and OpenAI announced a collaboration to share select news content and technology for generative-AI use cases. row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 946 (2023-05-15 22:36:00): OpenAI readies new open-source AI model The Information reports | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports | row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration Chronologically integrate four distinct OpenAI ecosystem events. Need all four stages and must preserve reported/planned status for May and June.,2023-03-24,"[""https://www.computerworld.com/article/3691617/openais-chatgpt-gets-support-for-a-dozen-application-plug-ins.html"", ""https://www.reuters.com/technology/openai-readies-new-open-source-ai-model-information-2023-05-15/"", ""https://www.reuters.com/technology/openai-plans-app-store-ai-software-information-2023-06-20/"", ""https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration""]"
G5000-32,OpenAI's ChatGPT gets support for a dozen application plug-ins,The March story describes ChatGPT gaining support for application plug-ins so companies can expose product functionality to the assistant. The June story describes a planned marketplace where developers could sell AI models built on OpenAI technology. One is runtime integration support; the other is a proposed commercial distribution marketplace. row 3938 (2023-03-24 15:58:00): OpenAI's ChatGPT gets support for a dozen application plug-ins | row 2449 (2023-06-20 14:28:00): OpenAI plans app store for AI software The Information reports Compare the function of the two ecosystem mechanisms. Penalize answers treating plug-ins and the app store as the same launch.,2023-03-24,"[""https://www.computerworld.com/article/3691617/openais-chatgpt-gets-support-for-a-dozen-application-plug-ins.html"", ""https://www.reuters.com/technology/openai-plans-app-store-ai-software-information-2023-06-20/""]"
G5000-33,AP Open AI agree to share select news content and technology in new collaboration,"The AP–OpenAI agreement is a collaboration to share access to select news content and technology for generative-AI use cases. Separately, OpenAI is named among companies making voluntary White House commitments on developing and managing AI. row 366 (2023-07-13 00:00:00): AP Open AI agree to share select news content and technology in new collaboration | row 3380 (2023-07-21 13:01:00): The White House and big tech companies release commitments on managing AI Keep commercial/content collaboration separate from governance/safety commitment. Need both counterparties and the correct relation type.",2023-07-13,"[""https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration"", ""https://www.wfae.org/united-states-world/united-states-world/2023-07-21/the-white-house-and-big-tech-companies-release-commitments-on-managing-ai""]"
G5000-34,Google Cloud Kicks Off Next '23 with a New Way to Cloud,"Google Cloud announced models from Meta (Llama 2 and Code Llama), the Technology Innovation Institute (Falcon LLM), and pre-announced Anthropic's Claude 2. Amazon's July AI-service expansion named technology access from Cohere, alongside conversational customer-service tooling. row 3395 (2023-08-29 18:07:00): Google Cloud Kicks Off Next '23 with a New Way to Cloud | row 2532 (2023-07-26 20:19:00): Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google | row 2537 (2023-07-27 05:38:00): Amazon has drawn thousands to try its AI service competing with Microsoft Google Aggregate suppliers by cloud platform while avoiding cross-assignment. Cohere belongs to Amazon in these sources; Anthropic/Meta/TII are tied to Google Cloud here.",2023-08-29,"[""https://www.tmcnet.com/usubmit/2023/08/29/9871484.htm"", ""https://www.reuters.com/technology/amazon-has-drawn-thousands-try-its-ai-service-competing-with-microsoft-google-2023-07-26/"", ""https://indianexpress.com/article/technology/artificial-intelligence/amazon-has-drawn-thousands-to-try-its-ai-service-competing-with-microsoft-google-8862614/""]"
G5000-35,Exclusive: Amazon's cloud unit is considering AMD's new AI chips,"AWS was only considering AMD's new AI chips, with no final decision. HPE said it would offer a cloud computing service specifically for large language models, drawing on its supercomputing experience. Thus AWS is a tentative sourcing/evaluation relation, while HPE is an AI service-offering relation. row 2905 (2023-06-14 08:47:00): Exclusive: Amazon's cloud unit is considering AMD's new AI chips | row 3289 (2023-06-21 06:32:00): HPE to offer cloud computing service for artificial intelligence Distinguish procurement evaluation from service launch/offer. Need both the uncertainty on AWS and the LLM-service characterization for HPE.",2023-06-14,"[""https://www.reuters.com/technology/amazons-cloud-unit-is-considering-amds-new-ai-chips-2023-06-14/"", ""https://indianexpress.com/article/technology/artificial-intelligence/hpe-to-offer-cloud-computing-service-for-artificial-intelligence-8676758/""]"
